total_loss,nll_loss,entropy_penalty
3.823446035385131836e+00,2.680156707763671875e+00,1.143289327621459961e+00
3.562100887298583984e+00,2.438004732131958008e+00,1.124096035957336426e+00
3.367365121841430664e+00,2.270188093185424805e+00,1.097177028656005859e+00
3.173053264617919922e+00,2.104496479034423828e+00,1.068556666374206543e+00
2.950823783874511719e+00,1.911309123039245605e+00,1.039514660835266113e+00
2.698790550231933594e+00,1.687262654304504395e+00,1.011527895927429199e+00
2.399456024169921875e+00,1.414644122123718262e+00,9.848119020462036133e-01
2.061274528503417969e+00,1.103067040443420410e+00,9.582075476646423340e-01
1.675752639770507812e+00,7.431963682174682617e-01,9.325563311576843262e-01
1.271482229232788086e+00,3.637599647045135498e-01,9.077222943305969238e-01
1.011104345321655273e+00,1.282629370689392090e-01,8.828414678573608398e-01
9.064292311668395996e-01,4.847707226872444153e-02,8.579521775245666504e-01
8.555711507797241211e-01,2.212392538785934448e-02,8.334472179412841797e-01
8.208268284797668457e-01,1.118394080549478531e-02,8.096429109573364258e-01
7.923701405525207520e-01,6.110232789069414139e-03,7.862598896026611328e-01
7.666591405868530273e-01,3.795442869886755943e-03,7.628636956214904785e-01
7.416620254516601562e-01,2.599809784442186356e-03,7.390621900558471680e-01
7.164874672889709473e-01,1.939576817676424980e-03,7.145478725433349609e-01
6.907362341880798340e-01,1.622868003323674202e-03,6.891133785247802734e-01
6.642720103263854980e-01,1.588829443790018559e-03,6.626831889152526855e-01
6.372060775756835938e-01,1.900432864204049110e-03,6.353056430816650391e-01
6.099576950073242188e-01,2.872301731258630753e-03,6.070854067802429199e-01
5.835211873054504395e-01,5.178255029022693634e-03,5.783429145812988281e-01
5.575032234191894531e-01,6.606557872146368027e-03,5.508966445922851562e-01
5.318202376365661621e-01,6.917906925082206726e-03,5.249023437500000000e-01
5.059416890144348145e-01,5.402747076004743576e-03,5.005389451980590820e-01
4.812983274459838867e-01,4.997944924980401993e-03,4.763003885746002197e-01
4.571901857852935791e-01,3.976990468800067902e-03,4.532131850719451904e-01
4.327684938907623291e-01,4.312240052968263626e-03,4.284562468528747559e-01
4.091160893440246582e-01,4.773439839482307434e-03,4.043426513671875000e-01
3.857363164424896240e-01,5.434417165815830231e-03,3.803018927574157715e-01
3.633680045604705811e-01,6.571596488356590271e-03,3.567964136600494385e-01
3.471519052982330322e-01,8.314175531268119812e-03,3.388377428054809570e-01
3.236305117607116699e-01,3.975437488406896591e-03,3.196550607681274414e-01
